,BPR,ItemKNN,NGCF,RecVAE,LightGCN,Pop,CDL_TFIDF_BOW_50,CDL_all-MiniLM-L6-v2_50,CDL_text-embedding-ada-002_50,CDL_text-embedding-3-large_50,pos_items
Mean NDCG@50,0.1040187503486016,0.1136581249000718,0.1001742013050701,0.1098456435363556,0.1090928233159919,0.07880905921280873,0.1374520675477678,0.138485712729028,0.1381228306819303,0.1364813123249494,0.980849856235942
Mean Recall@50,0.1987112507622145,0.2395711447384975,0.1962959057328303,0.2152518079263252,0.2146982557490986,0.15412197800506144,0.2681887488613575,0.2654457157391088,0.2689308837152897,0.2680444878612045,0.9753070358418716
Mean Precision@50,0.0335081967213114,0.0313442622950819,0.032,0.0356721311475409,0.0346885245901639,0.028327868852459012,0.0448196721311475,0.0448524590163934,0.0439016393442623,0.0438032786885245,1.0
Disparity in NDCG@50 for user activity,0.0322523464219683,0.0789771505533585,0.032897998100261,0.0344512616043875,0.0374523110883377,0.009202883730599243,0.0348323317143357,0.0360082576132247,0.0410327567101674,0.0382358336529536,0.0540814245188677
Disparity in NDCG@50 for user mainstreaminess,0.0644920106078849,0.0981388230155714,0.0764100006725507,0.0628475338405103,0.0682777518168188,0.0508882476434217,0.059555223285449,0.0671471306408386,0.0656556537082717,0.0649184211879916,0.0990400188514646
Disparity in Recall@50 for user activity,0.1363743766106917,0.2315954995861749,0.1449522488537051,0.1606489709205973,0.1595496958680875,0.09908003567455213,0.2147440815029324,0.220806510854404,0.2214002277978806,0.2208626326294159,0.0697347598910106
Disparity in Recall@50 for user mainstreaminess,0.1350194420916427,0.2064948533281921,0.1703268868219654,0.15203270497429,0.1520016699285606,0.11290458218034384,0.172170443663938,0.1840763970225824,0.1756942413434111,0.1744614737988088,0.1252026464764689
Disparity in Precision@50 for user activity,0.031840571536003,0.0093871028388794,0.0287281443880428,0.0332210001880052,0.0311599924797894,0.03226311336717429,0.0447189321300996,0.0455282947922541,0.0406927993983831,0.0407017296484301,0.0
Disparity in Precision@50 for user mainstreaminess,0.0043254716981132,0.0222641509433962,0.0094952830188679,0.0006650943396226,0.0053962264150943,0.0010613207547169878,0.0232264150943396,0.0252028301886792,0.0162264150943396,0.0157641509433962,0.0
Disparity in Visibility@50 for item popularity,0.997311475409836,0.8073442622950819,0.98727868852459,0.9982295081967214,0.9823606557377048,"Series([], dtype: float64)",0.9871475409836066,0.9805901639344264,0.9908852459016392,0.9893770491803278,0.5599918517009574
